run,t_stat,p_value,cohens_d,fixed_mean_ns,random_mean_ns,fixed_std_ns,random_std_ns,significant,negligible
1,0.854244,0.39298061,0.012081,293438.79,293391.86,4200.89,3539.16,no,yes
2,-0.290909,0.77112417,-0.004114,299294.12,299390.65,23536.55,23387.49,no,yes
3,-0.450980,0.65200874,-0.006378,297807.11,297958.70,23661.58,23876.13,no,yes
4,0.519014,0.60375656,0.007340,305073.52,304802.00,38136.64,35810.43,no,yes
5,0.837229,0.40247413,0.011840,294265.78,294147.90,10239.62,9664.09,no,yes
6,-0.288088,0.77328273,-0.004074,318376.62,318903.09,118558.77,139072.69,no,yes
7,0.153888,0.87769973,0.002176,293940.95,293925.99,6710.25,7038.07,no,yes
8,1.650529,0.09885504,0.023342,293474.09,293380.16,4983.59,2747.62,no,yes
9,0.055617,0.95564729,0.000787,293520.10,293517.83,2551.71,3196.51,no,yes
10,-0.146346,0.88364989,-0.002070,303887.77,303896.00,3873.22,4072.71,no,yes
11,0.355065,0.72254472,0.005021,293614.05,293596.68,3772.88,3112.65,no,yes
12,-0.880116,0.37880890,-0.012447,293499.55,293523.24,1446.38,2270.70,no,yes
13,0.009589,0.99234923,0.000136,293359.34,293359.22,851.41,998.10,no,yes
14,1.267929,0.20483848,0.017931,293410.59,293394.14,990.84,837.80,no,yes
15,-0.289556,0.77215883,-0.004095,293201.44,293206.93,1366.34,1316.45,no,yes
16,0.632158,0.52729099,0.008940,293705.90,293678.81,3358.97,2658.64,no,yes
17,-0.565676,0.57162031,-0.008000,293418.03,293435.67,2146.27,2262.67,no,yes
18,0.351165,0.72546844,0.004966,293363.21,293355.40,1608.18,1538.63,no,yes
19,-0.510413,0.60976815,-0.007218,293375.82,293382.50,902.89,949.36,no,yes
20,0.652935,0.51380552,0.009234,293830.88,293763.85,7698.39,6791.98,no,yes
21,-0.049398,0.96060225,-0.000699,293428.53,293431.25,3464.70,4275.38,no,yes
22,-0.850766,0.39490954,-0.012032,293903.54,293947.84,3439.88,3909.60,no,yes
23,-0.425983,0.67012505,-0.006024,293506.61,293524.67,2552.02,3384.27,no,yes
24,0.809872,0.41802409,0.011453,293320.34,293290.97,2868.83,2218.53,no,yes
25,-0.915041,0.36018274,-0.012941,293362.15,293379.14,1024.10,1549.32,no,yes
26,1.301079,0.19324705,0.018400,293564.41,293547.87,997.73,788.15,no,yes
27,-0.336113,0.73678942,-0.004753,293445.39,293476.59,6306.88,6808.54,no,yes
28,0.012018,0.99041100,0.000170,293280.31,293279.82,2805.00,2964.51,no,yes
29,-0.750398,0.45302769,-0.010612,293499.13,293528.01,1555.55,3519.84,no,yes
30,-1.311954,0.18955396,-0.018554,293658.98,293702.29,1690.73,2834.98,no,yes
31,-0.210840,0.83301411,-0.002982,293486.65,293497.86,3333.71,4138.14,no,yes
32,0.236675,0.81291160,0.003347,293188.13,293184.30,1317.48,939.67,no,yes
33,0.463466,0.64303556,0.006554,293333.62,293323.43,1596.62,1512.39,no,yes
34,-0.035762,0.97147275,-0.000506,293407.73,293408.76,2320.17,1690.43,no,yes
35,-0.217604,0.82774026,-0.003077,293347.56,293360.46,4196.40,4186.25,no,yes
36,1.695812,0.08993929,0.023982,293532.33,293503.57,1408.22,944.58,no,yes
37,-0.791106,0.42889138,-0.011188,293540.29,293553.19,1168.68,1136.78,no,yes
38,-0.408541,0.68288118,-0.005778,293451.10,293473.52,4018.14,3738.40,no,yes
39,0.379954,0.70398353,0.005373,293382.71,293355.39,5424.60,4719.93,no,yes
40,0.058184,0.95360285,0.000823,293455.96,293455.13,1045.40,986.46,no,yes
41,-0.843917,0.39872804,-0.011935,293341.45,293387.13,2792.15,4636.65,no,yes
42,-0.434658,0.66381575,-0.006147,293357.73,293370.15,1795.73,2225.00,no,yes
43,0.234224,0.81481399,0.003312,299469.64,299466.48,1060.05,840.41,no,yes
44,0.275379,0.78302778,0.003894,293485.50,293475.17,2692.10,2609.47,no,yes
45,0.193400,0.84664773,0.002735,293455.97,293452.13,1522.66,1275.17,no,yes
46,-1.224733,0.22069236,-0.017320,293411.63,293433.92,1009.66,1513.98,no,yes
47,1.710192,0.08724643,0.024186,293382.01,293351.17,1381.43,1159.09,no,yes
48,-0.070371,0.94389910,-0.000995,294701.78,294703.25,1432.79,1533.95,no,yes
49,-0.041477,0.96691575,-0.000587,299642.62,299643.38,1435.88,1153.72,no,yes
50,1.434100,0.15156497,0.020281,293475.29,293394.37,5056.16,2503.46,no,yes
51,0.354648,0.72285720,0.005015,293276.66,293270.86,1158.64,1155.07,no,yes
52,0.684626,0.49358865,0.009682,293554.72,293542.39,1477.97,1027.61,no,yes
53,-0.248700,0.80359575,-0.003517,293495.31,293500.32,1370.77,1476.12,no,yes
54,-0.995943,0.31929078,-0.014085,293206.22,293239.74,2028.31,2685.56,no,yes
55,0.928239,0.35329476,0.013127,293592.96,293578.84,1103.18,1047.04,no,yes
56,0.350512,0.72595795,0.004957,293511.19,293493.62,3668.78,3413.37,no,yes
57,0.284063,0.77636484,0.004017,293218.98,293209.88,2232.08,2299.56,no,yes
58,-0.027893,0.97774762,-0.000394,293374.23,293376.20,5143.91,4820.18,no,yes
59,1.371059,0.17037826,0.019390,293554.07,293519.62,2272.21,1073.58,no,yes
60,-1.349675,0.17714232,-0.019087,293193.50,293232.39,1176.16,2630.13,no,yes
61,0.066474,0.94700078,0.000940,294857.63,294854.60,3275.26,3166.82,no,yes
62,1.417615,0.15632180,0.020048,302571.03,302521.44,2961.94,1861.30,no,yes
63,-0.706786,0.47970762,-0.009995,293467.05,293487.92,1975.46,2195.30,no,yes
64,-2.440702,0.01466922,-0.034517,293518.71,293552.67,721.33,1189.53,yes,yes
65,-0.887393,0.37487830,-0.012550,293666.53,293747.47,6084.23,6794.66,no,yes
66,1.123566,0.26121360,0.015890,293284.38,293238.99,3439.35,2119.89,no,yes
67,0.588499,0.55620441,0.008323,293585.34,293573.48,1622.43,1196.32,no,yes
68,0.876133,0.38096837,0.012390,293443.53,293424.49,1565.06,1507.48,no,yes
69,0.971003,0.33155879,0.013732,293401.52,293384.30,1326.19,1177.14,no,yes
70,-0.718587,0.47240407,-0.010162,293304.76,293315.43,1029.25,1069.29,no,yes
71,0.442494,0.65813666,0.006258,293371.33,293362.54,1410.83,1399.27,no,yes
72,0.141467,0.88750248,0.002001,293395.92,293394.06,917.44,945.25,no,yes
73,-0.462875,0.64345872,-0.006546,293364.38,293378.24,2114.24,2121.81,no,yes
74,0.868742,0.38499862,0.012286,293571.99,293558.58,1114.50,1068.26,no,yes
75,-0.274715,0.78353798,-0.003885,293547.96,293573.40,6379.81,6715.21,no,yes
76,0.239146,0.81099513,0.003382,293283.74,293277.47,2251.94,1342.09,no,yes
77,0.305042,0.76033741,0.004314,293283.09,293275.73,1740.06,1672.10,no,yes
78,0.122425,0.90256380,0.001731,293643.07,293640.36,1594.41,1536.14,no,yes
79,-0.526241,0.59872705,-0.007442,293397.85,293426.28,3376.86,4216.66,no,yes
80,0.701430,0.48304291,0.009920,293311.23,293277.34,3653.52,3160.60,no,yes
81,1.033751,0.30126499,0.014619,293491.80,293479.60,836.23,833.14,no,yes
82,1.193491,0.23269183,0.016879,293230.86,293209.45,1364.87,1164.28,no,yes
83,0.973816,0.33015980,0.013772,293386.89,293368.46,1234.01,1434.51,no,yes
84,-0.489281,0.62464831,-0.006919,293229.67,293245.06,2085.39,2352.47,no,yes
85,-1.009360,0.31281472,-0.014275,293530.16,293579.68,3113.95,3791.46,no,yes
86,-2.274861,0.02293375,-0.032171,301263.02,301381.12,1021.44,5090.33,yes,yes
87,0.547272,0.58419811,0.007740,293293.83,293282.34,1457.99,1508.38,no,yes
88,0.323159,0.74657854,0.004570,293266.60,293258.68,1666.66,1793.87,no,yes
89,0.605938,0.54456307,0.008569,293331.27,293321.16,1166.64,1192.77,no,yes
