run,type,time_ns
0,fixed,294612
0,random,294819
1,fixed,299387
1,random,332730
2,fixed,355028
2,random,315299
3,fixed,296268
3,random,294908
4,fixed,301289
4,random,294824
5,fixed,294785
5,random,295465
6,fixed,300961
6,random,295084
7,fixed,294148
7,random,298939
8,fixed,295002
8,random,294742
9,fixed,300607
9,random,295225
10,fixed,294645
10,random,295671
11,fixed,304907
11,random,294441
12,fixed,293990
12,random,302844
13,fixed,295359
13,random,295654
14,fixed,295174
14,random,309530
15,fixed,295154
15,random,295235
16,fixed,299165
16,random,294925
17,fixed,295047
17,random,299775
18,fixed,294789
18,random,294974
19,fixed,294623
19,random,299859
20,fixed,294514
20,random,296243
21,fixed,298892
21,random,295679
22,fixed,295111
22,random,299103
23,fixed,315494
23,random,406418
24,fixed,404184
24,random,327144
25,fixed,314452
25,random,310840
26,fixed,295666
26,random,330137
27,fixed,301146
27,random,294978
28,fixed,294057
28,random,302794
29,fixed,359117
29,random,341960
30,fixed,296472
30,random,302606
31,fixed,294489
31,random,295097
32,fixed,301139
32,random,295581
33,fixed,294927
33,random,300405
34,fixed,294924
34,random,295000
35,fixed,294849
35,random,297885
36,fixed,294416
36,random,294896
37,fixed,296656
37,random,295098
38,fixed,294647
38,random,294850
39,fixed,300149
39,random,295306
40,fixed,294887
40,random,297377
41,fixed,294871
41,random,295841
42,fixed,415359
42,random,294493
43,fixed,294729
43,random,297128
44,fixed,294250
44,random,294877
45,fixed,294919
45,random,301442
46,fixed,294995
46,random,294797
47,fixed,300260
47,random,294992
48,fixed,295192
48,random,298853
49,fixed,294394
49,random,295022
50,fixed,294169
50,random,298251
51,fixed,365837
51,random,403221
52,fixed,371756
52,random,350936
53,fixed,299557
53,random,302914
54,fixed,356988
54,random,377658
55,fixed,301783
55,random,307228
56,fixed,360333
56,random,406347
57,fixed,335578
57,random,301653
58,fixed,294758
58,random,294879
59,fixed,294530
59,random,300846
60,fixed,294686
60,random,295249
61,fixed,300897
61,random,295389
62,fixed,295208
62,random,298479
63,fixed,294701
63,random,295297
64,fixed,294507
64,random,298932
65,fixed,294447
65,random,295279
66,fixed,298395
66,random,295007
67,fixed,294879
67,random,295330
68,fixed,304327
68,random,294741
69,fixed,294603
69,random,307070
70,fixed,295293
70,random,294568
71,fixed,299996
71,random,294701
72,fixed,294478
72,random,294774
73,fixed,298667
73,random,294441
74,fixed,294970
74,random,298227
75,fixed,294570
75,random,294902
76,fixed,298095
76,random,295170
77,fixed,365476
77,random,408781
78,fixed,348025
78,random,308495
79,fixed,350346
79,random,347789
80,fixed,325809
80,random,303194
81,fixed,295142
81,random,295254
82,fixed,295035
82,random,308754
83,fixed,351860
83,random,342425
84,fixed,302363
84,random,295217
85,fixed,294612
85,random,299575
86,fixed,295981
86,random,295430
87,fixed,300417
87,random,295477
88,fixed,294949
88,random,294870
89,fixed,299967
89,random,295378
90,fixed,295467
90,random,297077
91,fixed,294717
91,random,294541
92,fixed,296517
92,random,293988
93,fixed,294494
93,random,294633
94,fixed,300428
94,random,295232
95,fixed,294923
95,random,305660
96,fixed,297079
96,random,295224
97,fixed,294664
97,random,297169
98,fixed,294245
98,random,294905
99,fixed,300412
99,random,295218
100,fixed,294529
100,random,300702
101,fixed,294341
101,random,295332
102,fixed,294658
102,random,298654
103,fixed,294895
103,random,296629
104,fixed,297736
104,random,294708
105,fixed,351395
105,random,408210
106,fixed,369487
106,random,317467
107,fixed,306592
107,random,294927
108,fixed,337675
108,random,314676
109,fixed,299104
109,random,299527
110,fixed,325140
110,random,355498
111,fixed,318179
111,random,303998
112,fixed,295050
112,random,294569
113,fixed,294875
113,random,300382
114,fixed,295247
114,random,329862
115,fixed,301800
115,random,305221
116,fixed,313644
116,random,300540
117,fixed,294646
117,random,297422
118,fixed,375146
118,random,310614
119,fixed,295475
119,random,295343
120,fixed,302877
120,random,383340
121,fixed,314215
121,random,306376
122,fixed,295087
122,random,295241
123,fixed,307209
123,random,295369
124,fixed,294440
124,random,299147
125,fixed,294611
125,random,295055
126,fixed,294477
126,random,299501
127,fixed,294368
127,random,295048
128,fixed,299542
128,random,295497
129,fixed,294471
129,random,297412
130,fixed,294931
130,random,307708
131,fixed,405626
131,random,405556
132,fixed,302036
132,random,309517
133,fixed,348306
133,random,354493
134,fixed,349514
134,random,297072
135,fixed,295096
135,random,294635
136,fixed,298949
136,random,299976
137,fixed,348664
137,random,364225
138,fixed,322095
138,random,295646
139,fixed,300763
139,random,295674
140,fixed,294972
140,random,301233
141,fixed,295229
141,random,294976
142,fixed,300487
142,random,296840
143,fixed,294432
143,random,294788
144,fixed,297511
144,random,295226
145,fixed,294886
145,random,300109
146,fixed,295395
146,random,294879
147,fixed,294337
147,random,317491
148,fixed,295165
148,random,295032
149,fixed,299642
149,random,294776
150,fixed,294914
150,random,304064
151,fixed,300891
151,random,294818
152,fixed,294848
152,random,300590
153,fixed,294695
153,random,295105
154,fixed,300627
154,random,294331
155,fixed,295426
155,random,301349
156,fixed,294764
156,random,295523
157,fixed,294643
157,random,303967
158,fixed,294739
158,random,343481
159,fixed,409142
159,random,369854
160,fixed,343389
160,random,331830
161,fixed,307929
161,random,335436
162,fixed,302668
162,random,294693
163,fixed,294624
163,random,298906
164,fixed,337282
164,random,353150
165,fixed,312766
165,random,295491
166,fixed,295194
166,random,300786
167,fixed,294563
167,random,296179
168,fixed,294710
168,random,301228
169,fixed,294798
169,random,295069
170,fixed,298303
170,random,295384
171,fixed,294609
171,random,296718
172,fixed,294723
172,random,295273
173,fixed,294580
173,random,296907
174,fixed,295281
174,random,294959
175,fixed,300286
175,random,295197
176,fixed,294865
176,random,294839
177,fixed,307563
177,random,295956
178,fixed,294449
178,random,297449
179,fixed,295084
179,random,294955
180,fixed,297891
180,random,294735
181,fixed,294254
181,random,294412
182,fixed,302129
182,random,294922
183,fixed,295170
183,random,298996
184,fixed,295325
184,random,294125
185,fixed,326003
185,random,294939
186,fixed,295240
186,random,294934
187,fixed,296496
187,random,326765
188,fixed,334605
188,random,349639
189,fixed,296352
189,random,294539
190,fixed,300725
190,random,295153
191,fixed,295006
191,random,324549
192,fixed,360301
192,random,313661
193,fixed,302690
193,random,294310
194,fixed,294977
194,random,295102
195,fixed,301860
195,random,295527
196,fixed,294674
196,random,303270
197,fixed,294744
197,random,295430
198,fixed,299745
198,random,296744
199,fixed,294893
199,random,294679
200,fixed,298141
200,random,295649
201,fixed,294453
201,random,299355
202,fixed,294713
202,random,294836
203,fixed,294879
203,random,305107
204,fixed,294925
204,random,294769
205,fixed,308203
205,random,295079
206,fixed,294717
206,random,300237
207,fixed,294384
207,random,294986
208,fixed,294214
208,random,300204
209,fixed,294606
209,random,295290
210,fixed,300268
210,random,294980
211,fixed,294531
211,random,300733
212,fixed,294568
212,random,295103
213,fixed,304890
213,random,321054
214,fixed,295362
214,random,295112
215,fixed,323979
215,random,346232
216,fixed,375794
216,random,359563
217,fixed,297223
217,random,350014
218,fixed,382957
218,random,295514
219,fixed,346274
219,random,354338
220,fixed,308490
220,random,295971
221,fixed,303234
221,random,295369
222,fixed,294903
222,random,303083
223,fixed,297480
223,random,295425
224,fixed,295346
224,random,302190
225,fixed,294720
225,random,295539
226,fixed,298771
226,random,294783
227,fixed,296422
227,random,303582
228,fixed,294846
228,random,295271
229,fixed,294360
229,random,300307
230,fixed,294546
230,random,295109
231,fixed,298060
231,random,295029
232,fixed,294660
232,random,299027
233,fixed,302299
233,random,294819
234,fixed,294855
234,random,302477
235,fixed,294964
235,random,294724
236,fixed,299105
236,random,294740
237,fixed,294441
237,random,294329
238,fixed,929974
238,random,298718
239,fixed,295400
239,random,295274
240,fixed,332195
240,random,303593
241,fixed,307989
241,random,331133
242,fixed,337885
242,random,394245
243,fixed,351806
243,random,313745
244,fixed,295414
244,random,301225
245,fixed,324519
245,random,359575
246,fixed,318261
246,random,295867
247,fixed,294648
247,random,294979
248,fixed,304534
248,random,295679
249,fixed,294459
249,random,298341
250,fixed,294799
250,random,294605
251,fixed,298973
251,random,294866
252,fixed,294399
252,random,294641
253,fixed,299032
253,random,295240
254,fixed,294792
254,random,298731
255,fixed,295510
255,random,294674
256,fixed,300438
256,random,294308
257,fixed,294641
257,random,294609
258,fixed,403997
258,random,294803
259,fixed,294835
259,random,298579
260,fixed,295140
260,random,294911
261,fixed,300015
261,random,295542
262,fixed,294505
262,random,294073
263,fixed,299712
263,random,295216
264,fixed,295068
264,random,300000
265,fixed,294819
265,random,294756
266,fixed,297499
266,random,332321
267,fixed,295026
267,random,307425
268,fixed,356162
268,random,361815
269,fixed,382250
269,random,300248
270,fixed,310250
270,random,300983
271,fixed,296237
271,random,295197
272,fixed,294430
272,random,359638
273,fixed,347741
273,random,296438
274,fixed,305772
274,random,295168
275,fixed,294714
275,random,300227
276,fixed,295347
276,random,294429
277,fixed,295092
277,random,299877
278,fixed,295040
278,random,294700
279,fixed,298088
279,random,295328
280,fixed,294861
280,random,301294
281,fixed,294100
281,random,295026
282,fixed,294860
282,random,297420
283,fixed,295055
283,random,295834
284,fixed,300265
284,random,295025
285,fixed,294660
285,random,299365
286,fixed,301130
286,random,295335
287,fixed,294171
287,random,299511
288,fixed,295026
288,random,294646
289,fixed,301357
289,random,294232
290,fixed,294400
290,random,294922
291,fixed,298637
291,random,295841
292,fixed,294077
292,random,297593
293,fixed,294840
293,random,295095
294,fixed,296876
294,random,311780
295,fixed,413798
295,random,393782
296,fixed,408239
296,random,397461
297,fixed,422781
297,random,419029
298,fixed,421703
298,random,423656
299,fixed,422062
299,random,417993
300,fixed,418169
300,random,425169
301,fixed,418246
301,random,418674
302,fixed,430154
302,random,415035
303,fixed,415962
303,random,415931
304,fixed,418567
304,random,413981
305,fixed,423139
305,random,411134
306,fixed,420040
306,random,413098
307,fixed,418931
307,random,416870
308,fixed,417501
308,random,400479
309,fixed,391946
309,random,415815
310,fixed,420608
310,random,415995
311,fixed,425472
311,random,416685
312,fixed,419684
312,random,423847
313,fixed,417165
313,random,418798
314,fixed,415481
314,random,437213
315,fixed,439698
315,random,404331
316,fixed,428593
316,random,433191
317,fixed,444756
317,random,426289
318,fixed,446305
318,random,418254
319,fixed,400530
319,random,425301
320,fixed,418487
320,random,420298
321,fixed,416086
321,random,421440
322,fixed,417068
322,random,417504
323,fixed,409718
323,random,419075
324,fixed,420546
324,random,420814
325,fixed,421233
325,random,423665
326,fixed,412215
326,random,411454
327,fixed,423333
327,random,415430
328,fixed,394771
328,random,417769
329,fixed,424036
329,random,423583
330,fixed,422548
330,random,420253
331,fixed,410954
331,random,347001
332,fixed,295872
332,random,295078
333,fixed,299365
333,random,295310
334,fixed,293752
334,random,298662
335,fixed,295222
335,random,329303
336,fixed,294989
336,random,307962
337,fixed,339439
337,random,349444
338,fixed,388125
338,random,322176
339,fixed,322966
339,random,295627
340,fixed,294557
340,random,295339
341,fixed,358425
341,random,349341
342,fixed,296867
342,random,304253
343,fixed,294835
343,random,295796
344,fixed,301138
344,random,294212
345,fixed,295479
345,random,295212
346,fixed,300229
346,random,295084
347,fixed,295019
347,random,299846
348,fixed,294501
348,random,295222
349,fixed,296982
349,random,294643
350,fixed,294228
350,random,295462
351,fixed,296318
351,random,295936
352,fixed,295416
352,random,302830
353,fixed,294998
353,random,295252
354,fixed,300799
354,random,302854
355,fixed,294005
355,random,295309
356,fixed,297124
356,random,294733
357,fixed,294355
357,random,298076
358,fixed,294501
358,random,294951
359,fixed,300457
359,random,295370
360,fixed,294621
360,random,295593
361,fixed,299581
361,random,294657
362,fixed,311041
362,random,299025
363,fixed,295269
363,random,304268
364,fixed,353670
364,random,365387
365,fixed,355592
365,random,303509
366,fixed,310243
366,random,295467
367,fixed,294456
367,random,303831
368,fixed,300979
368,random,352254
369,fixed,345728
369,random,296603
370,fixed,294455
370,random,302806
371,fixed,294607
371,random,295119
372,fixed,300760
372,random,295044
373,fixed,295038
373,random,295556
374,fixed,298881
374,random,294697
375,fixed,294718
375,random,300478
376,fixed,294937
376,random,294768
377,fixed,299022
377,random,294970
378,fixed,294134
378,random,295269
379,fixed,299265
379,random,295032
380,fixed,295071
380,random,299601
381,fixed,294823
381,random,295344
382,fixed,298715
382,random,303785
383,fixed,295073
383,random,294974
384,fixed,296807
384,random,294852
385,fixed,295157
385,random,299455
386,fixed,294917
386,random,294976
387,fixed,294656
387,random,298205
388,fixed,294967
388,random,294942
389,fixed,295755
389,random,294910
390,fixed,307660
390,random,302397
391,fixed,294048
391,random,325335
392,fixed,360340
392,random,387285
393,fixed,319453
393,random,318730
394,fixed,294868
394,random,294795
395,fixed,294651
395,random,308124
396,fixed,350877
396,random,341592
397,fixed,302826
397,random,294802
398,fixed,295209
398,random,304096
399,fixed,294690
399,random,294680
400,fixed,300285
400,random,295159
401,fixed,295013
401,random,295163
402,fixed,299712
402,random,295844
403,fixed,295049
403,random,297082
404,fixed,294500
404,random,295062
405,fixed,301726
405,random,295901
406,fixed,294210
406,random,294726
407,fixed,302039
407,random,295116
408,fixed,294639
408,random,306106
409,fixed,296843
409,random,294696
410,fixed,294867
410,random,298475
411,fixed,295002
411,random,294700
412,fixed,296635
412,random,295076
413,fixed,293803
413,random,300778
414,fixed,294353
414,random,295329
415,fixed,294118
415,random,296313
416,fixed,294342
416,random,303427
417,fixed,326666
417,random,295439
418,fixed,325217
418,random,366092
419,fixed,371595
419,random,353498
420,fixed,331322
420,random,295899
421,fixed,295011
421,random,301820
422,fixed,294577
422,random,295127
423,fixed,313401
423,random,354062
424,fixed,326291
424,random,295470
425,fixed,301637
425,random,295216
426,fixed,294396
426,random,300650
427,fixed,295004
427,random,295047
428,fixed,302015
428,random,295607
429,fixed,294731
429,random,295258
430,fixed,300617
430,random,295670
431,fixed,294563
431,random,296792
432,fixed,295051
432,random,294937
433,fixed,299956
433,random,295403
434,fixed,294521
434,random,295415
435,fixed,296942
435,random,294966
436,fixed,294854
436,random,403037
437,fixed,294348
437,random,295269
438,fixed,296773
438,random,294895
439,fixed,294771
439,random,294948
440,fixed,301857
440,random,295550
441,fixed,295065
441,random,296952
442,fixed,294625
442,random,295104
443,fixed,296639
443,random,295488
444,fixed,294676
444,random,303924
445,fixed,323120
445,random,296697
446,fixed,325231
446,random,356899
447,fixed,376648
447,random,336055
448,fixed,329513
448,random,295659
449,fixed,295333
449,random,299047
450,fixed,295160
450,random,333292
451,fixed,358244
451,random,304017
452,fixed,294860
452,random,301130
453,fixed,294104
453,random,295407
454,fixed,294265
454,random,299503
455,fixed,295676
455,random,294406
456,fixed,298354
456,random,295079
457,fixed,295273
457,random,299099
458,fixed,295113
458,random,295304
459,fixed,294615
459,random,297061
460,fixed,295304
460,random,294517
461,fixed,299457
461,random,295101
462,fixed,294704
462,random,298481
463,fixed,297169
463,random,295170
464,fixed,294653
464,random,307306
465,fixed,294488
465,random,295080
466,fixed,296203
466,random,294947
467,fixed,294666
467,random,294861
468,fixed,296303
468,random,294806
469,fixed,294664
469,random,323389
470,fixed,294900
470,random,294929
471,fixed,301654
471,random,294421
472,fixed,294346
472,random,295028
473,fixed,383710
473,random,424561
474,fixed,413641
474,random,424769
475,fixed,427748
475,random,425664
476,fixed,434149
476,random,419021
477,fixed,409275
477,random,410459
478,fixed,399795
478,random,412483
479,fixed,429720
479,random,433298
480,fixed,418473
480,random,417545
481,fixed,420382
481,random,409646
482,fixed,404861
482,random,447417
483,fixed,426555
483,random,424259
484,fixed,424536
484,random,427194
485,fixed,423036
485,random,422783
486,fixed,541078
486,random,422072
487,fixed,432868
487,random,431273
488,fixed,443659
488,random,425692
489,fixed,438280
489,random,420927
490,fixed,426170
490,random,436316
491,fixed,430545
491,random,430863
492,fixed,422194
492,random,427142
493,fixed,433629
493,random,418110
494,fixed,440938
494,random,414886
495,fixed,421774
495,random,426178
496,fixed,417198
496,random,420200
497,fixed,427430
497,random,439949
498,fixed,423706
498,random,431452
499,fixed,420693
499,random,417714
500,fixed,427391
500,random,414187
501,fixed,419873
501,random,417517
502,fixed,433481
502,random,422746
503,fixed,417517
503,random,394492
504,fixed,414395
504,random,430674
505,fixed,421040
505,random,559408
506,fixed,433086
506,random,433676
507,fixed,433306
507,random,421152
508,fixed,445016
508,random,423505
509,fixed,440538
509,random,425968
510,fixed,419010
510,random,415243
511,fixed,416450
511,random,426946
512,fixed,413320
512,random,416816
513,fixed,423566
513,random,420746
514,fixed,421410
