run,t_stat,p_value,cohens_d,fixed_mean_ns,varied_mean_ns,fixed_std_ns,varied_std_ns,significant,negligible
1,-0.043535,0.96527545,-0.000616,294940.32,294941.46,1994.38,1721.59,no,yes
2,-0.665978,0.50543275,-0.009418,301666.75,301879.88,22727.61,22531.25,no,yes
3,-0.366602,0.71392009,-0.005185,305520.25,305700.96,34726.59,34986.63,no,yes
4,-0.578030,0.56325060,-0.008175,295893.28,295970.36,9326.63,9532.19,no,yes
5,-1.816927,0.06924903,-0.025695,294784.79,294879.93,2266.81,4720.15,no,yes
6,-0.314624,0.75305040,-0.004449,482524.72,482716.34,42232.75,43885.30,no,yes
7,-0.532519,0.59437287,-0.007531,295105.52,295128.29,2895.51,3145.21,no,yes
8,-1.479700,0.13897125,-0.020926,294880.65,294907.88,1022.92,1530.12,no,yes
9,-1.049509,0.29395717,-0.014842,294987.08,295014.72,1677.75,2029.11,no,yes
10,0.087267,0.93045997,0.001234,294767.89,294766.61,1051.87,1026.33,no,yes
11,0.204066,0.83830415,0.002886,295181.14,295160.33,7314.63,7104.72,no,yes
12,0.753789,0.45098619,0.010660,302531.55,302513.49,1969.93,1364.18,no,yes
13,0.774463,0.43867167,0.010953,295236.10,295215.22,2531.47,927.80,no,yes
14,-0.595758,0.55134513,-0.008425,294829.94,294847.97,1509.18,2623.48,no,yes
15,0.214562,0.83011118,0.003034,295068.05,295065.16,971.76,935.78,no,yes
16,0.331124,0.74055432,0.004683,295112.12,295106.79,1096.30,1178.75,no,yes
17,0.178192,0.85857433,0.002520,294919.11,294916.40,1150.35,999.95,no,yes
18,-0.070912,0.94346829,-0.001003,295176.64,295182.90,6203.63,6279.94,no,yes
19,-1.298705,0.19406085,-0.018366,294810.35,294829.53,923.43,1152.39,no,yes
20,0.351061,0.72554662,0.004965,294924.40,294916.74,1677.64,1397.51,no,yes
21,0.390618,0.69608361,0.005524,294861.62,294855.34,1251.31,1010.70,no,yes
22,-0.073058,0.94176060,-0.001033,295075.78,295077.22,1613.36,1120.55,no,yes
23,-0.360108,0.71876987,-0.005093,295071.79,295078.88,1382.75,1398.55,no,yes
24,-0.299177,0.76480840,-0.004231,300891.38,300917.38,6090.23,6203.51,no,yes
25,0.698891,0.48462901,0.009884,294873.61,294862.40,1292.20,949.72,no,yes
26,0.301168,0.76328988,0.004259,295099.81,295077.22,5545.35,5053.33,no,yes
27,0.194384,0.84587694,0.002749,294769.46,294766.75,1037.33,934.52,no,yes
28,-0.244910,0.80652888,-0.003464,295045.86,295049.76,1240.91,999.54,no,yes
29,-0.744450,0.45661344,-0.010528,294702.22,294711.52,814.14,947.18,no,yes
30,0.447364,0.65461747,0.006327,294775.93,294768.79,1174.08,1081.18,no,yes
31,-1.447981,0.14763889,-0.020478,294786.43,294809.72,992.95,1264.69,no,yes
32,-0.013632,0.98912399,-0.000193,295947.46,295950.59,16186.39,16309.37,no,yes
33,0.433901,0.66436473,0.006136,294777.26,294765.20,1953.02,1979.46,no,yes
34,0.722288,0.47012622,0.010215,294842.11,294830.09,1231.93,1118.97,no,yes
35,-0.429359,0.66766657,-0.006072,295052.77,295074.15,3104.88,3895.30,no,yes
36,-0.092331,0.92643586,-0.001306,294792.29,294793.80,1033.46,1258.40,no,yes
37,-0.727371,0.46700752,-0.010287,294886.72,294903.82,1666.90,1658.24,no,yes
38,-0.627080,0.53061404,-0.008868,294850.93,294860.30,921.43,1175.22,no,yes
39,0.022670,0.98191363,0.000321,294778.98,294778.67,944.76,985.54,no,yes
40,0.360137,0.71874834,0.005093,295048.94,295040.37,1697.22,1666.52,no,yes
41,1.097579,0.27240526,0.015522,294990.66,294956.07,2758.47,1524.93,no,yes
42,-0.053950,0.95697549,-0.000763,294841.44,294842.43,1266.27,1318.88,no,yes
43,0.189475,0.84972281,0.002680,295070.91,295061.50,3690.42,3321.43,no,yes
44,-0.642695,0.52042986,-0.009089,294979.46,294988.12,871.65,1027.51,no,yes
45,-0.142260,0.88687570,-0.002012,307511.75,307519.46,4038.91,3623.09,no,yes
46,-0.901023,0.36758772,-0.012742,294765.24,294784.53,1272.24,1721.56,no,yes
47,-0.026435,0.97891088,-0.000374,295059.27,295059.70,1230.73,1090.62,no,yes
48,-0.619065,0.53588072,-0.008755,294886.37,294896.55,1145.40,1179.76,no,yes
49,-0.788890,0.43018574,-0.011157,294870.62,294881.90,997.64,1023.65,no,yes
50,-1.194413,0.23233085,-0.016892,295048.76,295062.84,760.18,901.95,no,yes
51,-0.020089,0.98397224,-0.000284,294955.43,294955.72,1054.26,981.71,no,yes
52,0.482499,0.62945692,0.006824,294867.15,294849.42,2892.18,2267.65,no,yes
53,-0.266850,0.78958746,-0.003774,294881.07,294885.81,1319.74,1189.05,no,yes
54,-0.899635,0.36832560,-0.012723,294785.77,294806.15,1516.02,1682.89,no,yes
55,1.260966,0.20733620,0.017833,295089.36,295073.69,944.82,807.15,no,yes
56,1.034698,0.30082315,0.014633,294846.90,294829.75,1299.00,1028.87,no,yes
57,-0.656568,0.51146696,-0.009285,294840.61,294855.87,1318.21,1913.50,no,yes
58,0.580183,0.56179823,0.008205,294913.02,294898.19,2064.27,1506.82,no,yes
59,-0.668048,0.50411409,-0.009448,295284.49,295301.20,1032.66,2277.33,no,yes
60,0.204760,0.83776172,0.002896,294932.45,294929.49,1091.65,942.66,no,yes
61,0.551535,0.58127345,0.007800,294974.48,294963.50,1553.30,1244.75,no,yes
62,-0.204792,0.83773663,-0.002896,295200.33,295219.78,6575.53,6854.63,no,yes
63,0.054196,0.95677924,0.000766,294880.00,294879.31,881.31,922.13,no,yes
64,0.372962,0.70918080,0.005274,295318.28,295296.43,4374.47,3895.17,no,yes
65,0.212917,0.83139408,0.003011,294873.84,294871.08,994.73,832.06,no,yes
66,-0.432480,0.66539738,-0.006116,305421.13,305463.47,6514.71,7307.90,no,yes
67,-0.013200,0.98946872,-0.000187,302636.32,302636.49,980.56,807.88,no,yes
68,-0.415673,0.67765425,-0.005878,296695.44,296717.08,3252.25,4064.64,no,yes
69,0.009682,0.99227484,0.000137,295090.98,295090.77,1815.13,1311.11,no,yes
70,-0.294311,0.76852325,-0.004162,296357.27,296361.98,1259.68,987.34,no,yes
71,1.076071,0.28190857,0.015218,295090.54,295075.85,981.42,948.70,no,yes
72,-0.483447,0.62878366,-0.006837,294875.58,294883.61,1130.68,1218.54,no,yes
73,0.108763,0.91339130,0.001538,295339.12,295329.75,6185.80,6001.77,no,yes
74,-0.885820,0.37572559,-0.012527,295075.40,295095.19,1457.69,1693.31,no,yes
75,-0.178467,0.85835827,-0.002524,294792.88,294796.23,1330.42,1320.30,no,yes
76,0.837577,0.40227830,0.011845,294859.75,294848.03,1049.13,926.51,no,yes
77,0.859553,0.39004639,0.012156,294878.81,294866.73,1100.33,873.33,no,yes
78,0.641800,0.52101227,0.009076,295094.95,295074.44,2745.80,1634.07,no,yes
79,0.450555,0.65231500,0.006372,294945.97,294935.00,1722.50,1719.12,no,yes
80,0.646633,0.51787722,0.009145,295033.10,295025.02,925.67,839.86,no,yes
81,0.064734,0.94838612,0.000915,294982.46,294978.54,4652.23,3888.39,no,yes
82,1.028900,0.30354118,0.014551,294880.56,294860.87,1602.84,1045.31,no,yes
83,0.426025,0.67009437,0.006025,294909.22,294889.98,3286.45,3098.17,no,yes
84,0.090660,0.92776377,0.001282,294781.25,294779.43,1416.79,1419.43,no,yes
85,0.213020,0.83131390,0.003013,295238.98,295229.67,3672.92,2369.65,no,yes
86,-0.618038,0.53655733,-0.008740,295130.76,295152.22,2305.03,2597.73,no,yes
87,1.783129,0.07458196,0.025217,307498.88,307473.86,1138.78,819.93,no,yes
88,-0.399986,0.68917085,-0.005657,294861.01,294866.98,982.07,1124.57,no,yes
89,-0.110599,0.91193571,-0.001564,295125.91,295127.55,1043.39,1053.38,no,yes
90,0.456999,0.64767640,0.006463,294848.36,294841.55,1062.18,1046.30,no,yes
91,-0.026711,0.97869026,-0.000378,294980.60,294981.03,1136.91,1168.60,no,yes
92,-0.189855,0.84942504,-0.002685,295007.17,295012.26,1870.80,1919.72,no,yes
93,-0.409606,0.68209959,-0.005793,294853.85,294859.77,964.89,1078.17,no,yes
94,-0.177264,0.85930268,-0.002507,295180.81,295183.03,887.13,890.37,no,yes
95,-1.510049,0.13104795,-0.021355,294803.55,294831.21,1111.09,1456.24,no,yes
96,0.001003,0.99919966,0.000014,295034.24,295034.21,2005.65,1512.85,no,yes
