run,type,time_ns
0,fixed,295555
0,random,292739
1,fixed,292443
1,random,294721
2,fixed,292887
2,random,313366
3,fixed,307741
3,random,295813
4,fixed,352151
4,random,388166
5,fixed,330457
5,random,293054
6,fixed,292829
6,random,300169
7,fixed,293719
7,random,293327
8,fixed,298445
8,random,293040
9,fixed,315454
9,random,374594
10,fixed,315833
10,random,293485
11,fixed,292427
11,random,297741
12,fixed,293164
12,random,293178
13,fixed,304039
13,random,292974
14,fixed,293180
14,random,296507
15,fixed,293073
15,random,292868
16,fixed,293439
16,random,294924
17,fixed,293191
17,random,293052
18,fixed,294298
18,random,293191
19,fixed,292258
19,random,293130
20,fixed,294300
20,random,293187
21,fixed,292591
21,random,294631
22,fixed,293086
22,random,293260
23,fixed,397166
23,random,293426
24,fixed,293605
24,random,294531
25,fixed,292446
25,random,293386
26,fixed,293013
26,random,294308
27,fixed,293549
27,random,292609
28,fixed,294766
28,random,292836
29,fixed,292286
29,random,315420
30,fixed,318880
30,random,298993
31,fixed,317993
31,random,296344
32,fixed,292824
32,random,306915
33,fixed,312995
33,random,292952
34,fixed,293277
34,random,297221
35,fixed,293011
35,random,293153
36,fixed,293002
36,random,297849
37,fixed,356329
37,random,341707
38,fixed,297542
38,random,293192
39,fixed,292485
39,random,297798
40,fixed,292594
40,random,292429
41,fixed,292093
41,random,294377
42,fixed,292029
42,random,292835
43,fixed,294688
43,random,292930
44,fixed,293662
44,random,294442
45,fixed,292989
45,random,292624
46,fixed,293156
46,random,294428
47,fixed,292813
47,random,293029
48,fixed,293722
48,random,293021
49,fixed,293116
49,random,292985
50,fixed,397793
50,random,292614
51,fixed,292985
51,random,294152
52,fixed,292548
52,random,293178
53,fixed,293654
53,random,292546
54,fixed,293315
54,random,292433
55,fixed,294344
55,random,293128
56,fixed,293106
56,random,294063
57,fixed,292905
57,random,292730
58,fixed,313048
58,random,295743
59,fixed,366078
59,random,365032
60,fixed,321251
60,random,310644
61,fixed,299397
61,random,293271
62,fixed,293715
62,random,293071
63,fixed,296791
63,random,293320
64,fixed,293027
64,random,344592
65,fixed,359341
65,random,293098
66,fixed,300160
66,random,293513
67,fixed,292915
67,random,293484
68,fixed,296834
68,random,293664
69,fixed,293287
69,random,297916
70,fixed,292643
70,random,293042
71,fixed,297113
71,random,293543
72,fixed,292786
72,random,293230
73,fixed,294971
73,random,292944
74,fixed,293377
74,random,294184
75,fixed,293112
75,random,293204
76,fixed,293237
76,random,294183
77,fixed,292906
77,random,293208
78,fixed,398042
78,random,292245
79,fixed,292816
79,random,293727
80,fixed,292947
80,random,292769
81,fixed,295506
81,random,292992
82,fixed,293598
82,random,293506
83,fixed,294365
83,random,293377
84,fixed,292727
84,random,310033
85,fixed,301023
85,random,315710
86,fixed,312801
86,random,324001
87,fixed,293067
87,random,293339
88,fixed,322734
88,random,293157
89,fixed,292828
89,random,298602
90,fixed,314008
90,random,322691
91,fixed,298950
91,random,293596
92,fixed,304127
92,random,308787
93,fixed,292887
93,random,293080
94,fixed,292934
94,random,297057
95,fixed,292859
95,random,293237
96,fixed,295935
96,random,292640
97,fixed,292815
97,random,292365
98,fixed,309097
98,random,293271
99,fixed,293053
99,random,295288
100,fixed,292998
100,random,293433
101,fixed,294478
101,random,293123
102,fixed,293169
102,random,293101
103,fixed,294085
103,random,292856
104,fixed,293788
104,random,294460
105,fixed,292890
105,random,292792
106,fixed,293142
106,random,397130
107,fixed,292952
107,random,293253
108,fixed,294704
108,random,293529
109,fixed,293196
109,random,294232
110,fixed,292516
110,random,292973
111,fixed,294021
111,random,299489
112,fixed,296035
112,random,293478
113,fixed,348331
113,random,388605
114,fixed,336985
114,random,298726
115,fixed,293104
115,random,328149
116,fixed,307959
116,random,293360
117,fixed,293241
117,random,296588
118,fixed,293148
118,random,292733
119,fixed,293075
119,random,299341
120,fixed,293090
120,random,292630
121,fixed,297266
121,random,292893
122,fixed,293035
122,random,297983
123,fixed,293099
123,random,293142
124,fixed,293107
124,random,295826
125,fixed,293508
125,random,293582
126,fixed,311409
126,random,293286
127,fixed,293915
127,random,295139
128,fixed,292698
128,random,292807
129,fixed,292688
129,random,294681
130,fixed,293214
130,random,292975
131,fixed,294719
131,random,292741
132,fixed,293084
132,random,293260
133,fixed,412151
133,random,293683
134,fixed,293758
134,random,295905
135,fixed,292880
135,random,292922
136,fixed,293792
136,random,292954
137,fixed,312376
137,random,296827
138,fixed,293186
138,random,293822
139,fixed,293397
139,random,312080
140,fixed,308887
140,random,341599
141,fixed,308806
141,random,293528
142,fixed,293589
142,random,300442
143,fixed,302662
143,random,312588
144,fixed,298027
144,random,293562
145,fixed,293560
145,random,293650
146,fixed,300603
146,random,291922
147,fixed,292385
147,random,296671
148,fixed,292863
148,random,293084
149,fixed,293050
149,random,302192
150,fixed,293049
150,random,292739
151,fixed,298990
151,random,293250
152,fixed,293170
152,random,296794
153,fixed,292801
153,random,293038
154,fixed,292726
154,random,309392
155,fixed,293430
155,random,293718
156,fixed,295260
156,random,293403
157,fixed,292977
157,random,293260
158,fixed,294441
158,random,293398
159,fixed,293158
159,random,294479
160,fixed,293077
160,random,292989
161,fixed,407095
161,random,293610
162,fixed,293140
162,random,294354
163,fixed,293191
163,random,293293
164,fixed,335147
164,random,297447
165,fixed,293308
165,random,293487
166,fixed,374703
166,random,303092
167,fixed,293620
167,random,295698
168,fixed,358266
168,random,411942
169,fixed,312314
169,random,297930
170,fixed,293355
170,random,314267
171,fixed,318626
171,random,293580
172,fixed,298095
172,random,294705
173,fixed,292816
173,random,293093
174,fixed,296783
174,random,293153
175,fixed,350721
175,random,375284
176,fixed,309414
176,random,293134
177,fixed,315389
177,random,293066
178,fixed,293295
178,random,301084
179,fixed,293139
179,random,292957
180,fixed,292746
180,random,298545
181,fixed,293187
181,random,293233
182,fixed,298780
182,random,293723
183,fixed,293663
183,random,293209
184,fixed,295340
184,random,293547
185,fixed,293156
185,random,295317
186,fixed,292715
186,random,292826
187,fixed,294702
187,random,292311
188,fixed,292338
188,random,292947
189,fixed,302605
189,random,361022
190,fixed,298993
190,random,298380
191,fixed,293143
191,random,293199
192,fixed,294647
192,random,293002
193,fixed,293446
193,random,293184
194,fixed,295851
194,random,324134
195,fixed,293581
195,random,297302
196,fixed,292622
196,random,292903
197,fixed,294404
197,random,292259
198,fixed,292801
198,random,304605
199,fixed,297494
199,random,292252
200,fixed,292426
200,random,295152
201,fixed,293195
201,random,292927
202,fixed,295998
202,random,293682
203,fixed,293376
203,random,293042
204,fixed,295654
204,random,293291
205,fixed,293013
205,random,300452
206,fixed,293007
206,random,293309
207,fixed,293179
207,random,296877
208,fixed,293396
208,random,293110
209,fixed,296431
209,random,293206
210,fixed,293152
210,random,294184
211,fixed,292714
211,random,293272
212,fixed,293177
212,random,294331
213,fixed,293066
213,random,292615
214,fixed,294511
214,random,292585
215,fixed,292840
215,random,293057
216,fixed,397515
216,random,293198
217,fixed,293460
217,random,294100
218,fixed,292837
218,random,292977
219,fixed,303809
219,random,293184
220,fixed,292516
220,random,294254
221,fixed,292977
221,random,292784
222,fixed,292969
222,random,294083
223,fixed,292848
223,random,317811
224,fixed,295463
224,random,293336
225,fixed,293212
225,random,293177
226,fixed,293941
226,random,298777
227,fixed,294564
227,random,297756
228,fixed,293259
228,random,293139
229,fixed,297520
229,random,293309
230,fixed,293359
230,random,293426
231,fixed,294619
231,random,293195
232,fixed,292882
232,random,294712
233,fixed,292871
233,random,292886
234,fixed,292766
234,random,297980
235,fixed,293262
235,random,293311
236,fixed,294943
236,random,293335
237,fixed,293376
237,random,294875
238,fixed,293288
238,random,292839
239,fixed,293203
239,random,295593
240,fixed,292851
240,random,292474
241,fixed,294238
241,random,293595
242,fixed,293178
242,random,294419
243,fixed,292911
243,random,292621
